Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Crash Bandicoot 3: Warped,ps,1998,platform,sony computer entertainment,3.68,1.75,1.42,0.28,7.13,9.1,12.0,8.9,432.0,Naughty Dog,E
Mario Kart 8,wiiu,2014,racing,nintendo,3.15,2.15,1.28,0.51,7.09,8.8,82.0,9.1,1599.0,Nintendo,E
Super Smash Bros. Melee,gc,2001,fighting,nintendo,4.41,1.04,1.39,0.22,7.07,9.2,38.0,9.1,568.0,HAL Labs,T
Mario Kart: Double Dash!!,gc,2003,racing,nintendo,4.12,1.77,0.87,0.19,6.95,6.800689655172414,23.121379310344828,7.040858505564388,69.22893481717011,Unknown,E
Need for Speed Underground 2,ps2,2004,racing,electronic arts,2.71,3.02,0.08,1.09,6.9,8.2,39.0,8.6,132.0,EA Canada,E
Medal of Honor: Frontline,ps2,2002,shooter,electronic arts,2.93,2.75,0.17,0.99,6.83,8.8,29.0,8.5,135.0,EA LA,T
Crash Bandicoot,ps,1996,platform,sony computer entertainment,3.23,2.35,0.94,0.3,6.82,6.812448979591837,23.76734693877551,7.3058962264150935,109.6745283018868,Unknown,E
Just Dance 4,wii,2012,misc,ubisoft,4.05,2.16,0.0,0.55,6.76,7.4,10.0,7.3,28.0,Ubisoft,E10+
Gears of War 2,x360,2008,shooter,microsoft game studios,4.15,1.9,0.06,0.64,6.75,9.3,90.0,7.7,2739.0,Epic Games,M
Uncharted 3: Drake's Deception,ps3,2011,action,sony computer entertainment,2.77,2.75,0.19,1.03,6.74,9.2,97.0,8.3,3712.0,Naughty Dog,T
Zumba Fitness,wii,2010,sports,505 games,3.45,2.59,0.0,0.66,6.71,7.199313304721031,21.050643776824035,6.951433857539316,41.87511563367253,"Pipeworks Software, Inc.",E
Call of Duty 4: Modern Warfare,ps3,2007,shooter,activision,3.11,2.26,0.28,1.03,6.68,9.4,44.0,8.4,993.0,Infinity Ward,M
Uncharted 2: Among Thieves,ps3,2009,action,sony computer entertainment,3.27,2.2,0.21,0.98,6.66,9.6,105.0,8.8,5187.0,Naughty Dog,T
FIFA 12,ps3,2011,sports,electronic arts,0.84,4.3,0.11,1.39,6.65,7.199313304721031,21.050643776824035,6.951433857539316,41.87511563367253,Unknown,E
Big Brain Academy,ds,2005,misc,nintendo,1.66,2.75,1.6,0.62,6.62,7.4,45.0,7.4,27.0,Nintendo,E
The Legend of Zelda,nes,1986,action,nintendo,3.74,0.93,1.69,0.14,6.51,6.667693138843868,27.891950297136685,7.058129175946548,188.76391982182628,Unknown,E
Red Dead Redemption,ps3,2010,action,take-two interactive,2.79,2.53,0.17,0.99,6.49,9.5,73.0,8.8,2456.0,Rockstar San Diego,M
FIFA 14,ps3,2013,sports,electronic arts,0.78,4.24,0.07,1.37,6.47,8.6,37.0,4.3,576.0,EA Canada,E
Assassin's Creed III,ps3,2012,action,ubisoft,2.64,2.52,0.16,1.12,6.45,8.5,41.0,6.9,1307.0,Ubisoft,M
Donkey Kong Country Returns,wii,2010,platform,nintendo,3.17,1.79,1.03,0.46,6.44,8.7,77.0,8.6,368.0,Retro Studios,E
Halo: Combat Evolved,xb,2001,shooter,microsoft game studios,4.98,1.3,0.08,0.07,6.43,9.7,68.0,8.6,1283.0,Bungie Software,M
The Elder Scrolls V: Skyrim,ps3,2011,role-playing,bethesda softworks,2.55,2.6,0.25,1.0,6.41,9.2,16.0,6.4,2527.0,Bethesda Game Studios,M
Pokémon Emerald Version,gba,2004,role-playing,nintendo,2.57,1.58,2.06,0.21,6.41,7.6,28.0,9.0,222.0,Game Freak,E
Kingdom Hearts,ps2,2002,role-playing,sony computer entertainment,3.64,1.2,1.49,0.07,6.4,8.5,46.0,8.8,597.0,SquareSoft,E
Pokémon Crystal Version,gb,2000,role-playing,nintendo,2.55,1.56,1.29,0.99,6.39,7.265526675786593,32.51436388508892,7.624423337856173,321.9280868385346,Unknown,E
Halo 3: ODST,x360,2009,shooter,microsoft game studios,4.34,1.34,0.06,0.61,6.34,8.3,94.0,7.1,1163.0,"Bungie Software, Bungie",M
Red Dead Redemption,x360,2010,action,take-two interactive,3.7,1.95,0.09,0.58,6.32,9.5,96.0,9.0,2316.0,Rockstar San Diego,M
Super Mario Sunshine,gc,2002,platform,nintendo,4.01,1.26,0.87,0.17,6.31,9.2,61.0,8.6,439.0,Nintendo,E
Street Fighter II: The World Warrior,snes,1992,fighting,capcom,2.47,0.83,2.87,0.12,6.3,6.915555555555555,27.960493827160494,7.295949367088608,64.59746835443038,Unknown,E
World of Warcraft,pc,2004,role-playing,activision,0.08,6.21,0.0,0.0,6.29,9.3,57.0,7.3,2182.0,Blizzard Entertainment,T
Driver,ps,1999,action,gt interactive,3.11,2.8,0.02,0.33,6.27,8.7,22.0,8.1,78.0,Reflections Interactive,T
Gears of War 3,x360,2011,shooter,microsoft game studios,4.05,1.59,0.07,0.5,6.21,9.1,96.0,7.8,1504.0,Epic Games,M
Kinect Sports,x360,2010,sports,microsoft game studios,3.92,1.73,0.03,0.51,6.19,7.3,51.0,7.4,95.0,Rare Ltd.,E10+
Gears of War,x360,2006,shooter,microsoft game studios,3.54,1.88,0.07,0.6,6.09,9.4,88.0,8.3,2295.0,Epic Games,M
FIFA 15,ps4,2014,sports,electronic arts,0.8,4.33,0.05,0.9,6.08,8.2,47.0,5.7,988.0,EA Sports,E
Metal Gear Solid 2: Sons of Liberty,ps2,2001,action,konami digital entertainment,2.45,2.01,0.87,0.72,6.05,9.6,42.0,8.7,1026.0,KCEJ,M
Sonic the Hedgehog 2,gen,1992,platform,sega,4.47,1.2,0.16,0.19,6.03,6.812448979591837,23.76734693877551,7.3058962264150935,109.6745283018868,Unknown,E
Metal Gear Solid,ps,1998,action,konami digital entertainment,3.18,1.83,0.78,0.24,6.03,9.4,20.0,9.4,918.0,KCEJ,M
Metal Gear Solid 4: Guns of the Patriots,ps3,2008,action,konami digital entertainment,2.63,1.71,0.83,0.82,5.99,9.4,82.0,8.7,3558.0,Kojima Productions,M
Final Fantasy XII,ps2,2006,role-playing,square enix,1.88,0.0,2.33,1.74,5.95,9.2,64.0,7.6,972.0,Square Enix,T
The Last of Us,ps3,2013,action,sony computer entertainment europe,2.41,2.18,0.28,0.99,5.87,9.5,98.0,9.1,8003.0,Naughty Dog,M
LittleBigPlanet,ps3,2008,platform,sony computer entertainment,2.8,1.98,0.17,0.87,5.82,9.5,85.0,6.8,5311.0,"SCE/WWS, Media Molecule",E
Resident Evil 2,ps,1998,action,virgin interactive,1.88,1.47,2.02,0.45,5.82,8.9,13.0,9.2,364.0,Capcom,M
Dragon Quest IX: Sentinels of the Starry Skies,ds,2009,role-playing,nintendo,0.63,0.67,4.35,0.15,5.78,8.7,65.0,8.8,197.0,Level 5,E10+
Tekken 2,ps,1996,fighting,sony computer entertainment,2.26,1.89,1.36,0.23,5.74,8.9,8.0,8.9,102.0,Namco,T
Destiny,ps4,2014,shooter,activision,2.49,2.07,0.16,0.92,5.64,7.6,95.0,6.1,5380.0,"Bungie Software, Bungie",T
LEGO Star Wars: The Complete Saga,wii,2007,action,lucasarts,3.57,1.55,0.0,0.51,5.64,8.0,17.0,8.9,62.0,Traveller's Tales,E10+
Cooking Mama,ds,2006,simulation,505 games,3.07,1.91,0.07,0.57,5.63,6.7,35.0,7.2,21.0,Taito Corporation,E
Tetris,nes,1988,puzzle,nintendo,2.97,0.69,1.81,0.11,5.58,6.723181818181819,20.454545454545453,7.1384,33.12,Unknown,E
Super Smash Bros.,n64,1999,fighting,nintendo,2.95,0.6,1.97,0.04,5.55,6.915555555555555,27.960493827160494,7.295949367088608,64.59746835443038,Unknown,E
Assassin's Creed II,ps3,2009,action,ubisoft,2.54,1.93,0.21,0.86,5.55,9.1,70.0,8.6,1202.0,Ubisoft Montreal,M
Assassin's Creed,x360,2007,adventure,ubisoft,3.28,1.64,0.07,0.56,5.54,8.1,77.0,7.7,1074.0,Ubisoft Montreal,M
Forza Motorsport 3,x360,2009,racing,microsoft game studios,2.99,1.9,0.1,0.5,5.49,9.2,90.0,8.0,516.0,Turn 10,E
Super Mario Advance,gba,2001,platform,nintendo,3.14,1.24,0.91,0.2,5.49,8.4,19.0,7.8,41.0,Nintendo,E
Monster Hunter Freedom Unite,psp,2008,role-playing,capcom,0.47,0.55,4.13,0.34,5.48,8.1,48.0,8.7,124.0,Capcom,T
Batman: Arkham City,ps3,2011,action,warner bros. interactive entertainment,2.71,1.85,0.11,0.81,5.48,9.6,42.0,8.6,2162.0,Rocksteady Studios,T
Grand Theft Auto V,xone,2014,action,take-two interactive,2.81,2.19,0.0,0.47,5.48,9.7,14.0,7.9,764.0,Rockstar North,M
Mario Kart: Super Circuit,gba,2001,racing,nintendo,2.62,1.64,0.99,0.23,5.47,9.3,24.0,8.3,108.0,Intelligent Systems,E
Super Mario World,gba,2001,platform,nintendo,3.21,1.11,0.95,0.2,5.46,6.812448979591837,23.76734693877551,7.3058962264150935,109.6745283018868,Unknown,E
Pokemon Stadium,n64,1999,strategy,nintendo,3.18,1.24,0.94,0.09,5.45,7.215878378378379,28.33108108108108,7.294426229508197,198.41311475409836,Unknown,E
Crash Bandicoot: The Wrath of Cortex,ps2,2001,platform,universal interactive,2.07,2.29,0.24,0.82,5.42,6.6,22.0,7.1,156.0,Traveller's Tales,E
Call of Duty: World at War,ps3,2008,shooter,activision,2.73,1.83,0.0,0.83,5.39,8.5,45.0,7.6,409.0,Treyarch,M
Uncharted 4: A Thief's End,ps4,2016,shooter,sony computer entertainment,1.85,2.5,0.19,0.85,5.38,9.3,113.0,7.9,7064.0,Naughty Dog,T
Dr. Mario,gb,1989,puzzle,nintendo,2.18,0.96,2.0,0.2,5.34,6.723181818181819,20.454545454545453,7.1384,33.12,Unknown,E
Final Fantasy XIII,ps3,2009,role-playing,square enix,1.74,1.21,1.87,0.51,5.33,8.3,83.0,7.3,2483.0,Square Enix,T
Pokemon Pinball,gb,1999,misc,nintendo,3.02,1.12,1.01,0.16,5.31,6.664833005893909,21.68369351669941,6.805827505827505,30.7995337995338,Unknown,E
Final Fantasy IX,ps,2000,role-playing,squaresoft,1.62,0.77,2.78,0.14,5.3,9.4,22.0,8.9,779.0,SquareSoft,T
Assassin's Creed III,x360,2012,action,ubisoft,3.13,1.69,0.03,0.44,5.29,8.4,61.0,6.7,1196.0,Ubisoft,M
Final Fantasy X-2,ps2,2003,role-playing,electronic arts,1.92,1.08,2.11,0.17,5.29,8.5,45.0,6.6,400.0,SquareSoft,T
